2025-03-04 15:30:07 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 15:36:04 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:22:32 | User: unknown | Action: accessed api endpoint | Method: POST | Endpoint: /createSubscriberForMigration | Payload: RES-99999-991 | Status: 201 | IP: 0:0:0:0:0:0:0:1 | Client: billingaccount | Agent: PostmanRuntime/7.43.0
2025-03-04 16:22:41 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:23:54 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:23:54 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:23:56 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:41:04 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:41:08 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:43:42 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:44:08 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:44:16 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:44:19 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:45:25 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:52:50 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:52:54 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:52:55 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:53:00 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:54:38 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:54:38 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:54:43 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:54:57 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 16:58:34 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 17:01:44 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
2025-03-04 17:47:41 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 0:0:0:0:0:0:0:1 | Client: frontendaccount | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36
