2025-03-05 15:08:47 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 15:08:47 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 15:10:27 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 15:10:29 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/54 | Payload: 54 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 15:22:50 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 15:22:52 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:07:43 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:07:43 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:07:48 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:07:50 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:00 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:00 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:03 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:06 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:44 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 16:19:46 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:00:26 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:00:28 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:03:03 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:03:04 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:03:27 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:03:29 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:05:07 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:05:09 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:42:45 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:42:48 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/70 | Payload: 70 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:51:52 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:51:52 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:51:56 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:51:59 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:56:10 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:56:10 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:56:19 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:56:23 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:56:57 | User: unknown | Action: accessed api endpoint | Method: POST | Endpoint: /preprovisionCheck | Payload: RES-11111-8 | Status: 500 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:57:46 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-05 17:57:49 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscriberbyid/52 | Payload: 52 | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
